Age,PriorConvictions,MentalHealth,DrugUse,EmploymentStatus,CrimeType,Reoffend
44,35,Severe,Addicted,Unemployed,Fraud,1
49,65,Undiagnosed,Dealer,Unemployed,Theft,1
67,69,Mild,Dealer,Full-Time,Assault,1
55,74,In Recovery,Not Found,Full-Time,Theft,1
63,32,Severe,Occasional,Unemployed,Assault,1
24,15,In Recovery,Never,Unemployed,Assault,0
49,17,Severe,Occasional,Criminal Income,Other,1
45,58,Severe,Never,Part-Time,Dacoity,1
39,39,Undiagnosed,Dealer,Unemployed,Drug Offense,1
46,33,In Recovery,Not Found,Part-Time,Fraud,0
13,79,Mild,Never,Part-Time,Cybercrime,1
36,9,None,Never,Full-Time,Murder,0
50,84,None,Not Found,Part-Time,Rape,1
31,18,Undiagnosed,Frequent,Full-Time,Theft,0
14,66,Mild,Addicted,Full-Time,Drug Offense,1
42,55,None,Addicted,Unemployed,Fraud,1
14,89,Severe,Frequent,Part-Time,Rape,1
40,29,Mild,Never,Full-Time,Theft,0
64,26,Undiagnosed,Frequent,Full-Time,Kidnapping,1
68,58,Mild,Dealer,Criminal Income,Theft,1
11,40,In Recovery,Never,Criminal Income,Murder,1
72,74,None,Dealer,Criminal Income,Murder,1
45,98,In Recovery,Never,Unemployed,Fraud,1
60,8,Undiagnosed,Dealer,Part-Time,Kidnapping,1
68,12,Mild,Dealer,Part-Time,Assault,1
29,75,None,Never,Part-Time,Theft,1
15,1,Severe,Frequent,Criminal Income,Other,1
21,77,None,Never,Criminal Income,Rape,1
31,39,In Recovery,Addicted,Full-Time,Theft,1
15,97,Mild,Addicted,Criminal Income,Cybercrime,1
15,60,None,Frequent,Part-Time,Assault,1
27,16,Undiagnosed,Frequent,Part-Time,Assault,1
77,59,Undiagnosed,Dealer,Part-Time,Fraud,1
80,5,Mild,Not Found,Full-Time,Rape,0
33,13,Severe,Never,Criminal Income,Murder,1
20,5,In Recovery,Never,Full-Time,Cybercrime,0
19,49,Undiagnosed,Frequent,Full-Time,Dacoity,1
63,67,Undiagnosed,Frequent,Unemployed,Assault,1
73,40,Mild,Not Found,Part-Time,Murder,1
70,8,Severe,Dealer,Full-Time,Drug Offense,1
33,6,Severe,Occasional,Full-Time,Murder,1
36,6,In Recovery,Frequent,Criminal Income,Cybercrime,1
20,70,Severe,Not Found,Part-Time,Rape,1
79,10,In Recovery,Never,Unemployed,Theft,0
25,74,Severe,Frequent,Unemployed,Drug Offense,1
53,24,None,Frequent,Criminal Income,Dacoity,1
30,79,In Recovery,Occasional,Criminal Income,Kidnapping,1
15,44,Undiagnosed,Addicted,Unemployed,Other,1
56,2,Mild,Addicted,Unemployed,Dacoity,1
72,50,Severe,Never,Criminal Income,Other,1
54,22,Severe,Frequent,Criminal Income,Cybercrime,1
17,81,Mild,Not Found,Unemployed,Assault,1
72,66,In Recovery,Frequent,Unemployed,Assault,1
62,23,In Recovery,Addicted,Part-Time,Murder,1
44,3,None,Frequent,Full-Time,Theft,0
36,17,None,Occasional,Unemployed,Assault,0
35,42,In Recovery,Dealer,Criminal Income,Cybercrime,1
64,48,Undiagnosed,Frequent,Part-Time,Dacoity,1
33,69,Mild,Not Found,Criminal Income,Drug Offense,1
24,73,In Recovery,Addicted,Part-Time,Rape,1
27,24,Severe,Not Found,Full-Time,Fraud,0
76,51,In Recovery,Not Found,Full-Time,Other,1
47,99,None,Never,Criminal Income,Assault,1
59,26,In Recovery,Frequent,Criminal Income,Murder,1
45,2,Mild,Never,Full-Time,Drug Offense,0
58,42,Undiagnosed,Occasional,Unemployed,Cybercrime,1
23,69,Severe,Dealer,Part-Time,Theft,1
27,43,Undiagnosed,Never,Part-Time,Rape,1
30,22,None,Dealer,Full-Time,Murder,1
78,62,In Recovery,Dealer,Unemployed,Assault,1
56,9,None,Never,Part-Time,Other,0
30,15,In Recovery,Frequent,Part-Time,Cybercrime,0
61,88,In Recovery,Not Found,Full-Time,Kidnapping,1
49,100,Severe,Dealer,Full-Time,Drug Offense,1
62,28,Mild,Not Found,Full-Time,Theft,0
10,47,Mild,Addicted,Unemployed,Assault,1
19,44,In Recovery,Never,Criminal Income,Theft,1
61,40,None,Not Found,Unemployed,Dacoity,1
50,79,Mild,Occasional,Part-Time,Theft,1
77,90,Mild,Never,Part-Time,Cybercrime,1
77,74,None,Not Found,Unemployed,Fraud,1
44,56,None,Frequent,Unemployed,Fraud,1
72,3,In Recovery,Addicted,Unemployed,Assault,1
67,44,Undiagnosed,Addicted,Criminal Income,Kidnapping,1
18,6,None,Occasional,Unemployed,Drug Offense,0
60,11,Severe,Occasional,Criminal Income,Cybercrime,1
48,96,Severe,Dealer,Part-Time,Murder,1
41,79,Undiagnosed,Occasional,Part-Time,Kidnapping,1
33,14,None,Addicted,Part-Time,Cybercrime,0
12,22,Mild,Addicted,Unemployed,Murder,1
70,92,None,Not Found,Criminal Income,Other,1
53,36,Severe,Frequent,Part-Time,Cybercrime,1
57,81,Severe,Frequent,Criminal Income,Murder,1
58,41,Mild,Dealer,Unemployed,Rape,1
24,11,Undiagnosed,Frequent,Part-Time,Cybercrime,0
80,83,None,Frequent,Criminal Income,Cybercrime,1
56,54,In Recovery,Frequent,Full-Time,Cybercrime,1
51,56,In Recovery,Not Found,Full-Time,Dacoity,1
48,44,Mild,Never,Full-Time,Rape,1
70,61,None,Not Found,Full-Time,Theft,1
38,100,Mild,Frequent,Part-Time,Assault,1
74,77,Mild,Never,Full-Time,Dacoity,1
73,27,None,Frequent,Full-Time,Drug Offense,1
48,19,Severe,Never,Full-Time,Dacoity,0
26,5,In Recovery,Addicted,Part-Time,Dacoity,1
64,16,Undiagnosed,Dealer,Criminal Income,Theft,1
49,29,Undiagnosed,Frequent,Part-Time,Fraud,1
15,46,In Recovery,Never,Criminal Income,Cybercrime,1
47,35,Mild,Dealer,Full-Time,Cybercrime,1
47,67,None,Occasional,Criminal Income,Drug Offense,1
65,11,Severe,Frequent,Part-Time,Rape,1
27,90,Mild,Addicted,Full-Time,Kidnapping,1
21,99,Undiagnosed,Never,Part-Time,Dacoity,1
42,21,In Recovery,Dealer,Part-Time,Rape,1
10,76,Mild,Dealer,Full-Time,Other,1
58,63,Mild,Frequent,Unemployed,Kidnapping,1
49,99,Severe,Not Found,Full-Time,Kidnapping,1
70,27,Severe,Occasional,Full-Time,Kidnapping,1
54,71,None,Addicted,Criminal Income,Other,1
18,66,Undiagnosed,Dealer,Part-Time,Assault,1
33,62,In Recovery,Occasional,Unemployed,Assault,1
41,51,In Recovery,Dealer,Unemployed,Dacoity,1
60,85,In Recovery,Never,Full-Time,Murder,1
54,25,Mild,Occasional,Criminal Income,Cybercrime,1
20,35,Undiagnosed,Occasional,Unemployed,Theft,1
56,69,Undiagnosed,Occasional,Part-Time,Drug Offense,1
55,63,In Recovery,Dealer,Part-Time,Theft,1
77,78,In Recovery,Dealer,Part-Time,Other,1
49,54,Undiagnosed,Occasional,Unemployed,Kidnapping,1
63,57,In Recovery,Dealer,Part-Time,Drug Offense,1
55,86,Mild,Not Found,Full-Time,Theft,1
40,75,Mild,Addicted,Part-Time,Cybercrime,1
10,13,Undiagnosed,Occasional,Full-Time,Rape,1
52,6,Undiagnosed,Frequent,Unemployed,Theft,1
51,14,Undiagnosed,Dealer,Part-Time,Other,1
59,85,Mild,Dealer,Criminal Income,Drug Offense,1
43,86,In Recovery,Frequent,Unemployed,Theft,1
33,4,Mild,Not Found,Criminal Income,Fraud,0
14,68,Mild,Dealer,Unemployed,Other,1
70,75,Undiagnosed,Addicted,Part-Time,Drug Offense,1
22,74,None,Dealer,Unemployed,Kidnapping,1
30,17,In Recovery,Addicted,Part-Time,Assault,1
56,34,None,Addicted,Full-Time,Other,1
70,27,In Recovery,Not Found,Full-Time,Fraud,0
15,92,Severe,Dealer,Part-Time,Murder,1
17,14,Mild,Not Found,Part-Time,Drug Offense,0
47,60,Severe,Never,Criminal Income,Assault,1
76,89,In Recovery,Dealer,Part-Time,Cybercrime,1
55,20,None,Dealer,Full-Time,Rape,1
79,53,None,Not Found,Full-Time,Murder,1
26,12,None,Addicted,Criminal Income,Assault,1
57,33,In Recovery,Addicted,Unemployed,Theft,1
79,83,Mild,Addicted,Criminal Income,Theft,1
32,5,Mild,Not Found,Unemployed,Assault,0
71,45,Undiagnosed,Not Found,Part-Time,Other,1
22,25,Mild,Never,Unemployed,Cybercrime,0
21,87,In Recovery,Frequent,Criminal Income,Other,1
52,28,Severe,Addicted,Part-Time,Murder,1
70,11,Mild,Addicted,Part-Time,Assault,1
28,97,In Recovery,Never,Unemployed,Assault,1
23,69,In Recovery,Addicted,Unemployed,Cybercrime,1
18,51,None,Occasional,Criminal Income,Cybercrime,1
31,12,In Recovery,Occasional,Criminal Income,Theft,0
17,66,In Recovery,Never,Unemployed,Rape,1
33,76,None,Never,Unemployed,Murder,1
41,4,Undiagnosed,Not Found,Part-Time,Fraud,0
33,29,In Recovery,Occasional,Full-Time,Dacoity,0
18,39,Severe,Never,Criminal Income,Other,1
14,29,None,Frequent,Unemployed,Rape,1
74,57,Undiagnosed,Addicted,Unemployed,Kidnapping,1
48,73,Undiagnosed,Addicted,Part-Time,Other,1
15,40,Mild,Addicted,Full-Time,Kidnapping,1
49,65,Undiagnosed,Dealer,Full-Time,Theft,1
78,44,Severe,Occasional,Criminal Income,Assault,1
46,49,None,Not Found,Unemployed,Fraud,1
15,9,Severe,Frequent,Part-Time,Dacoity,1
37,51,In Recovery,Occasional,Full-Time,Murder,1
31,91,Undiagnosed,Not Found,Part-Time,Dacoity,1
10,39,None,Never,Part-Time,Theft,0
25,87,Mild,Addicted,Criminal Income,Kidnapping,1
18,3,Undiagnosed,Addicted,Full-Time,Drug Offense,1
50,57,Mild,Addicted,Part-Time,Rape,1
60,33,In Recovery,Addicted,Criminal Income,Rape,1
22,81,Undiagnosed,Addicted,Full-Time,Assault,1
21,95,Mild,Addicted,Part-Time,Other,1
15,78,In Recovery,Addicted,Part-Time,Fraud,1
25,1,None,Never,Unemployed,Kidnapping,0
51,31,Mild,Not Found,Criminal Income,Fraud,1
8,58,Severe,Never,Unemployed,Kidnapping,1
9,66,None,Not Found,Part-Time,Other,1
17,19,Undiagnosed,Frequent,Part-Time,Other,1
30,82,None,Not Found,Unemployed,Fraud,1
19,21,In Recovery,Dealer,Criminal Income,Kidnapping,1
60,72,None,Occasional,Part-Time,Murder,1
32,2,None,Not Found,Criminal Income,Rape,0
25,85,Mild,Frequent,Full-Time,Rape,1
45,47,In Recovery,Not Found,Unemployed,Murder,1
66,81,In Recovery,Never,Part-Time,Cybercrime,1
13,98,Mild,Not Found,Part-Time,Fraud,1
78,13,Undiagnosed,Addicted,Part-Time,Fraud,1
42,56,None,Never,Part-Time,Dacoity,1
43,64,Severe,Addicted,Criminal Income,Drug Offense,1
19,81,In Recovery,Frequent,Full-Time,Rape,1
23,21,Severe,Frequent,Full-Time,Cybercrime,1
78,64,Undiagnosed,Not Found,Part-Time,Kidnapping,1
24,70,None,Occasional,Criminal Income,Rape,1
66,93,None,Frequent,Unemployed,Cybercrime,1
52,96,Severe,Not Found,Full-Time,Drug Offense,1
10,1,In Recovery,Not Found,Part-Time,Assault,0
32,90,In Recovery,Frequent,Unemployed,Cybercrime,1
11,15,Mild,Frequent,Criminal Income,Cybercrime,1
63,94,Undiagnosed,Occasional,Full-Time,Theft,1
54,93,In Recovery,Frequent,Full-Time,Murder,1
57,38,Severe,Dealer,Unemployed,Dacoity,1
32,86,None,Never,Unemployed,Rape,1
63,87,Severe,Frequent,Part-Time,Dacoity,1
22,19,Undiagnosed,Frequent,Full-Time,Theft,0
74,78,Severe,Dealer,Unemployed,Other,1
33,74,In Recovery,Frequent,Full-Time,Other,1
78,99,In Recovery,Dealer,Full-Time,Cybercrime,1
78,80,Undiagnosed,Addicted,Part-Time,Other,1
16,42,Mild,Never,Unemployed,Drug Offense,1
76,17,Mild,Frequent,Unemployed,Theft,1
68,48,Severe,Occasional,Unemployed,Fraud,1
37,90,In Recovery,Occasional,Unemployed,Drug Offense,1
45,29,Severe,Occasional,Part-Time,Drug Offense,1
20,87,In Recovery,Occasional,Full-Time,Fraud,1
67,2,Severe,Addicted,Full-Time,Dacoity,1
54,57,None,Addicted,Criminal Income,Rape,1
45,27,Undiagnosed,Never,Full-Time,Murder,1
74,37,Severe,Frequent,Full-Time,Kidnapping,1
18,69,In Recovery,Addicted,Full-Time,Cybercrime,1
12,35,Undiagnosed,Frequent,Part-Time,Rape,1
39,74,Mild,Occasional,Criminal Income,Drug Offense,1
10,51,Severe,Addicted,Part-Time,Murder,1
35,39,In Recovery,Frequent,Full-Time,Assault,1
43,15,None,Occasional,Unemployed,Murder,1
39,18,Mild,Never,Part-Time,Dacoity,0
71,39,None,Never,Full-Time,Cybercrime,0
22,12,Mild,Dealer,Full-Time,Other,1
28,89,Severe,Never,Part-Time,Drug Offense,1
79,52,Mild,Occasional,Criminal Income,Theft,1
36,42,In Recovery,Dealer,Criminal Income,Assault,1
46,65,Mild,Addicted,Part-Time,Theft,1
42,14,None,Not Found,Unemployed,Drug Offense,0
14,22,In Recovery,Not Found,Full-Time,Dacoity,0
34,83,None,Frequent,Full-Time,Drug Offense,1
8,38,In Recovery,Never,Full-Time,Theft,0
31,83,In Recovery,Not Found,Unemployed,Dacoity,1
25,10,Undiagnosed,Addicted,Full-Time,Other,1
68,17,None,Not Found,Unemployed,Dacoity,1
17,55,Mild,Dealer,Full-Time,Theft,1
60,83,Severe,Dealer,Criminal Income,Fraud,1
40,96,Mild,Frequent,Criminal Income,Cybercrime,1
72,97,Undiagnosed,Dealer,Full-Time,Fraud,1
78,89,None,Dealer,Part-Time,Drug Offense,1
42,70,In Recovery,Addicted,Criminal Income,Kidnapping,1
17,10,Severe,Addicted,Full-Time,Assault,1
27,65,None,Dealer,Criminal Income,Assault,1
17,55,Severe,Not Found,Full-Time,Fraud,1
75,21,Undiagnosed,Addicted,Unemployed,Drug Offense,1
67,7,Undiagnosed,Never,Part-Time,Fraud,0
77,34,None,Frequent,Part-Time,Fraud,1
59,98,Undiagnosed,Never,Part-Time,Murder,1
63,53,Undiagnosed,Dealer,Criminal Income,Fraud,1
8,47,Undiagnosed,Occasional,Criminal Income,Kidnapping,1
36,74,In Recovery,Frequent,Criminal Income,Fraud,1
18,14,Severe,Never,Part-Time,Dacoity,0
21,74,None,Addicted,Full-Time,Kidnapping,1
25,53,None,Never,Full-Time,Cybercrime,0
25,23,Severe,Dealer,Part-Time,Theft,1
11,1,In Recovery,Not Found,Unemployed,Drug Offense,0
73,79,Mild,Addicted,Full-Time,Theft,1
49,89,Mild,Addicted,Part-Time,Cybercrime,1
67,72,Undiagnosed,Dealer,Unemployed,Fraud,1
46,60,In Recovery,Occasional,Full-Time,Rape,1
23,47,Undiagnosed,Addicted,Unemployed,Assault,1
16,99,None,Not Found,Part-Time,Fraud,1
76,5,Mild,Occasional,Unemployed,Drug Offense,1
46,82,None,Never,Part-Time,Murder,1
13,10,Undiagnosed,Never,Unemployed,Dacoity,1
26,7,Severe,Addicted,Part-Time,Drug Offense,1
67,50,None,Occasional,Criminal Income,Cybercrime,1
36,52,None,Occasional,Full-Time,Other,0
23,0,Undiagnosed,Addicted,Criminal Income,Kidnapping,1
14,25,None,Never,Part-Time,Cybercrime,0
8,95,None,Never,Part-Time,Theft,1
37,70,Undiagnosed,Frequent,Full-Time,Other,1
44,94,In Recovery,Never,Part-Time,Kidnapping,1
56,3,Mild,Frequent,Criminal Income,Theft,0
24,53,Mild,Frequent,Criminal Income,Drug Offense,1
8,37,Severe,Addicted,Part-Time,Kidnapping,1
38,90,In Recovery,Addicted,Criminal Income,Dacoity,1
47,50,In Recovery,Not Found,Part-Time,Fraud,1
36,28,None,Frequent,Part-Time,Cybercrime,0
13,75,None,Dealer,Unemployed,Other,1
21,56,Undiagnosed,Not Found,Full-Time,Other,1
21,69,Mild,Not Found,Unemployed,Other,1
10,33,Mild,Dealer,Part-Time,Drug Offense,1
62,87,Mild,Frequent,Unemployed,Rape,1
46,73,Severe,Occasional,Criminal Income,Dacoity,1
32,95,In Recovery,Dealer,Unemployed,Dacoity,1
32,42,Severe,Dealer,Full-Time,Assault,1
62,57,In Recovery,Not Found,Full-Time,Assault,1
17,31,Mild,Never,Unemployed,Fraud,1
42,52,Undiagnosed,Dealer,Full-Time,Other,1
80,0,Undiagnosed,Never,Unemployed,Murder,1
29,89,None,Frequent,Part-Time,Theft,1
8,53,In Recovery,Occasional,Criminal Income,Drug Offense,1
61,79,In Recovery,Frequent,Unemployed,Assault,1
22,21,Mild,Frequent,Criminal Income,Kidnapping,1
72,32,Mild,Never,Unemployed,Cybercrime,1
35,24,Severe,Occasional,Criminal Income,Theft,1
32,95,In Recovery,Addicted,Criminal Income,Drug Offense,1
27,61,Mild,Dealer,Unemployed,Rape,1
74,18,None,Never,Unemployed,Dacoity,0
56,74,Undiagnosed,Never,Unemployed,Drug Offense,1
52,38,None,Not Found,Criminal Income,Fraud,1
78,96,Mild,Frequent,Unemployed,Cybercrime,1
56,38,None,Frequent,Part-Time,Fraud,1
13,100,Undiagnosed,Addicted,Unemployed,Murder,1
18,59,In Recovery,Never,Part-Time,Cybercrime,1
28,71,In Recovery,Not Found,Part-Time,Rape,1
59,64,Undiagnosed,Frequent,Unemployed,Theft,1
23,12,Mild,Dealer,Criminal Income,Assault,1
75,24,Mild,Frequent,Part-Time,Murder,1
59,85,None,Addicted,Unemployed,Assault,1
42,59,In Recovery,Never,Criminal Income,Theft,1
32,57,Severe,Not Found,Criminal Income,Dacoity,1
25,31,Mild,Frequent,Criminal Income,Assault,1
61,84,In Recovery,Frequent,Criminal Income,Theft,1
50,39,Severe,Dealer,Criminal Income,Fraud,1
56,55,Undiagnosed,Dealer,Unemployed,Fraud,1
50,25,Undiagnosed,Not Found,Part-Time,Kidnapping,1
29,9,None,Occasional,Unemployed,Drug Offense,0
65,3,Undiagnosed,Addicted,Unemployed,Fraud,1
31,69,Severe,Frequent,Part-Time,Drug Offense,1
59,49,In Recovery,Frequent,Unemployed,Other,1
45,75,In Recovery,Addicted,Unemployed,Fraud,1
63,54,In Recovery,Dealer,Criminal Income,Cybercrime,1
20,41,Severe,Occasional,Full-Time,Kidnapping,1
79,12,Severe,Never,Unemployed,Theft,1
50,19,None,Frequent,Criminal Income,Fraud,1
35,51,None,Not Found,Full-Time,Dacoity,1
27,24,None,Addicted,Criminal Income,Dacoity,1
30,2,None,Occasional,Unemployed,Other,0
73,85,None,Occasional,Full-Time,Rape,1
66,7,In Recovery,Dealer,Full-Time,Rape,1
23,0,Severe,Occasional,Part-Time,Kidnapping,0
19,38,Undiagnosed,Addicted,Criminal Income,Murder,1
50,88,Undiagnosed,Dealer,Part-Time,Theft,1
39,81,In Recovery,Occasional,Full-Time,Murder,1
45,64,Severe,Addicted,Part-Time,Rape,1
10,40,Undiagnosed,Addicted,Part-Time,Fraud,1
69,32,None,Never,Criminal Income,Assault,1
55,89,Undiagnosed,Never,Unemployed,Kidnapping,1
45,98,Undiagnosed,Occasional,Part-Time,Assault,1
37,44,Undiagnosed,Not Found,Criminal Income,Theft,1
57,68,Severe,Frequent,Criminal Income,Other,1
28,0,Severe,Frequent,Unemployed,Dacoity,1
48,73,Severe,Not Found,Part-Time,Fraud,1
62,66,Mild,Dealer,Full-Time,Drug Offense,1
21,2,In Recovery,Frequent,Full-Time,Cybercrime,0
46,10,None,Frequent,Full-Time,Theft,0
41,50,In Recovery,Addicted,Part-Time,Murder,1
70,6,None,Occasional,Criminal Income,Kidnapping,1
10,34,In Recovery,Dealer,Full-Time,Rape,1
17,9,Severe,Not Found,Part-Time,Assault,1
26,39,None,Dealer,Unemployed,Rape,1
52,40,None,Frequent,Unemployed,Dacoity,1
64,71,None,Not Found,Full-Time,Dacoity,1
12,30,Severe,Never,Full-Time,Assault,1
30,72,In Recovery,Occasional,Unemployed,Theft,1
39,95,None,Addicted,Full-Time,Cybercrime,1
24,96,In Recovery,Frequent,Full-Time,Murder,1
10,1,Undiagnosed,Frequent,Part-Time,Murder,1
68,87,Undiagnosed,Addicted,Unemployed,Theft,1
40,91,None,Occasional,Criminal Income,Assault,1
22,21,Mild,Not Found,Criminal Income,Kidnapping,1
44,40,In Recovery,Frequent,Part-Time,Other,1
23,66,Undiagnosed,Occasional,Criminal Income,Theft,1
62,93,Severe,Frequent,Part-Time,Theft,1
43,93,Undiagnosed,Dealer,Part-Time,Rape,1
39,55,In Recovery,Not Found,Criminal Income,Rape,1
33,27,None,Not Found,Unemployed,Dacoity,1
57,14,Mild,Addicted,Unemployed,Dacoity,1
60,7,Undiagnosed,Never,Criminal Income,Murder,1
59,86,In Recovery,Not Found,Unemployed,Rape,1
16,96,None,Occasional,Part-Time,Other,1
38,95,None,Never,Full-Time,Assault,1
63,36,Undiagnosed,Addicted,Criminal Income,Cybercrime,1
54,34,Mild,Never,Unemployed,Fraud,0
31,98,None,Addicted,Criminal Income,Drug Offense,1
20,5,Mild,Dealer,Unemployed,Rape,1
68,69,Undiagnosed,Addicted,Unemployed,Rape,1
60,13,None,Not Found,Full-Time,Cybercrime,0
52,26,Severe,Not Found,Criminal Income,Cybercrime,1
64,47,Undiagnosed,Dealer,Unemployed,Kidnapping,1
43,53,Mild,Dealer,Part-Time,Kidnapping,1
53,68,None,Addicted,Full-Time,Dacoity,1
32,55,Undiagnosed,Addicted,Part-Time,Cybercrime,1
72,74,Undiagnosed,Frequent,Full-Time,Dacoity,1
18,8,Undiagnosed,Addicted,Part-Time,Murder,1
54,42,In Recovery,Frequent,Unemployed,Fraud,1
47,53,In Recovery,Not Found,Part-Time,Dacoity,1
67,4,None,Frequent,Full-Time,Assault,0
58,60,In Recovery,Not Found,Part-Time,Murder,1
75,47,Severe,Addicted,Criminal Income,Assault,1
32,66,None,Occasional,Part-Time,Kidnapping,1
75,88,In Recovery,Dealer,Part-Time,Murder,1
12,48,In Recovery,Occasional,Part-Time,Dacoity,1
56,48,None,Dealer,Part-Time,Assault,1
39,96,Mild,Never,Full-Time,Drug Offense,1
11,67,Undiagnosed,Dealer,Unemployed,Assault,1
74,92,Severe,Occasional,Full-Time,Assault,1
35,25,Severe,Occasional,Part-Time,Fraud,1
52,54,In Recovery,Occasional,Part-Time,Other,1
28,53,In Recovery,Occasional,Criminal Income,Drug Offense,1
71,43,In Recovery,Never,Part-Time,Cybercrime,1
62,3,None,Never,Part-Time,Rape,0
31,35,In Recovery,Addicted,Full-Time,Murder,1
54,32,In Recovery,Frequent,Unemployed,Cybercrime,1
38,2,Mild,Never,Unemployed,Dacoity,0
26,10,Undiagnosed,Never,Unemployed,Rape,1
43,33,In Recovery,Never,Full-Time,Other,0
8,1,None,Not Found,Unemployed,Theft,0
33,69,Severe,Frequent,Full-Time,Rape,1
14,77,Undiagnosed,Never,Full-Time,Dacoity,1
43,68,Undiagnosed,Addicted,Full-Time,Assault,1
36,57,Undiagnosed,Frequent,Criminal Income,Kidnapping,1
72,69,Undiagnosed,Dealer,Unemployed,Theft,1
